#Release 14.3 - par P.40xd (nt64)
#Copyright (c) 1995-2012 Xilinx, Inc.  All rights reserved.

#Fri Aug 02 12:13:10 2013

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       HMC_src_map.ncd
#OUTPUT FILE:      HMC_src_pad.csv
#PART TYPE:        xc3s50a
#SPEED GRADE:      -5
#PACKAGE:          vq100
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P1,,,TMS,,,,,,,,,,,,
P2,,,TDI,,,,,,,,,,,,
P3,FIL_ON_HMC,IOB,IO_L01P_3,OUTPUT,LVTTL,3,8,SLOW,NONE**,,,LOCATED,NO,NONE,
P4,FIL_ON_730,IBUF,IO_L01N_3,INPUT,LVTTL,3,,,,IBUF,,LOCATED,NO,NONE,
P5,EMS_ERROR_EVENT,IOB,IO_L02P_3,OUTPUT,LVTTL,3,8,SLOW,NONE**,,,LOCATED,NO,NONE,
P6,SPARE2,IOB,IO_L02N_3,OUTPUT,LVTTL,3,8,SLOW,NONE**,,,LOCATED,NO,NONE,
P7,,DIFFSI_NDT,IP_3/VREF_3,UNUSED,,3,,,,,,,,,
P8,,,GND,,,,,,,,,,,,
P9,,DIFFMLR,IO_L03P_3/LHCLK0,UNUSED,,3,,,,,,,,,
P10,MOD_PULSE_HMC,IOB,IO_L03N_3/LHCLK1,OUTPUT,LVTTL,3,8,SLOW,NONE**,,,LOCATED,NO,NONE,
P11,,,VCCO_3,,,3,,,,,3.30,,,,
P12,WG_SW_TERM,IBUF,IO_L04P_3/LHCLK2,INPUT,LVTTL,3,,,,IBUF,,LOCATED,NO,NONE,
P13,WG_SW_ERROR,IOB,IO_L04N_3/IRDY2/LHCLK3,OUTPUT,LVTTL,3,8,SLOW,NONE**,,,LOCATED,NO,NONE,
P14,,,GND,,,,,,,,,,,,
P15,MOD_PULSE_DISABLE,IOB,IO_L05P_3/TRDY2/LHCLK6,OUTPUT,LVTTL,3,8,SLOW,NONE**,,,LOCATED,NO,NONE,
P16,RX_GATE,IBUF,IO_L05N_3/LHCLK7,INPUT,LVTTL,3,,,,IBUF,,LOCATED,NO,NONE,
P17,,,VCCINT,,,,,,,,1.2,,,,
P18,,,GND,,,,,,,,,,,,
P19,SYNC_PULSE_HMC,IOB,IO_L06P_3,OUTPUT,LVTTL,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P20,,DIFFSLR,IO_L06N_3,UNUSED,,3,,,,,,,,,
P21,SYNC_PULSE,IBUF,IP_3,INPUT,LVTTL,3,,,,IBUF,,LOCATED,NO,NONE,
P22,,,VCCAUX,,,,,,,,3.3,,,,
P23,HV_ON_HMC,IOB,IO_L01P_2/M1,OUTPUT,LVTTL,2,8,SLOW,NONE**,,,LOCATED,NO,NONE,
P24,NOISE_SOURCE_EN,IOB,IO_L02P_2/M2,OUTPUT,LVTTL,2,8,SLOW,NONE**,,,LOCATED,NO,NONE,
P25,TX_GATE,IBUF,IO_L01N_2/M0,INPUT,LVTTL,2,,,,IBUF,,LOCATED,NO,NONE,
P26,,,VCCO_2,,,2,,,,,3.30,,,,
P27,EMS_PWR_ERROR,IBUF,IO_L02N_2/CSO_B,INPUT,LVTTL,2,,,,IBUF,,LOCATED,NO,NONE,
P28,WG_SW_CTRL_NOISE,IOB,IO_L03P_2/RDWR_B,OUTPUT,LVTTL,2,8,SLOW,NONE**,,,LOCATED,NO,NONE,
P29,STATUS_ACK,IBUF,IO_L04P_2/VS2,INPUT,LVTTL,2,,,,IBUF,,LOCATED,NO,NONE,
P30,EMS_TRIG,IBUF,IO_L03N_2/VS1,INPUT,LVTTL,2,,,,IBUF,,LOCATED,NO,NONE,
P31,EMS_ERROR_45,IOB,IO_L04N_2/VS0,OUTPUT,LVTTL,2,8,SLOW,NONE**,,,LOCATED,NO,NONE,
P32,EMS_ERROR_67,IOB,IO_L05P_2,OUTPUT,LVTTL,2,8,SLOW,NONE**,,,LOCATED,NO,NONE,
P33,MOD_PULSE,IBUF,IO_L06P_2,INPUT,LVTTL,2,,,,IBUF,,LOCATED,NO,NONE,
P34,EMS_ERROR_2,IOB,IO_L05N_2/D7,OUTPUT,LVTTL,2,8,SLOW,NONE**,,,LOCATED,NO,NONE,
P35,EMS_ERROR_1,IOB,IO_L06N_2/D6,OUTPUT,LVTTL,2,8,SLOW,NONE**,,,LOCATED,NO,NONE,
P36,WG_SW_NOISE,IBUF,IO_L07P_2/D5,INPUT,LVTTL,2,,,,IBUF,,LOCATED,NO,NONE,
P37,,DIFFSTB,IO_L07N_2/D4,UNUSED,,2,,,,,,,,,
P38,,,VCCINT,,,,,,,,1.2,,,,
P39,,IBUF,IP_2/VREF_2,UNUSED,,2,,,,,,,,,
P40,EXT_CLK,IBUF,IO_L08P_2/GCLK14,INPUT,LVTTL,2,,,,IBUF,,LOCATED,NO,NONE,
P41,ONE_PPS,IBUF,IO_L08N_2/GCLK15,INPUT,LVTTL,2,,,,IBUF,,LOCATED,NO,NONE,
P42,,,GND,,,,,,,,,,,,
P43,EMS_ERROR_3,IOB,IO_L09P_2/GCLK0,OUTPUT,LVTTL,2,8,SLOW,NONE**,,,LOCATED,NO,NONE,
P44,SPARE_STATUS1,IOB,IO_L09N_2/GCLK1,OUTPUT,LVTTL,2,8,SLOW,NONE**,,,LOCATED,NO,NONE,
P45,,,VCCO_2,,,2,,,,,3.30,,,,
P46,,DIFFMTB,IO_2/MOSI/CSI_B,UNUSED,,2,,,,,,,,,
P47,,,GND,,,,,,,,,,,,
P48,EMS_OUT<1>,IOB,IO_L10P_2/INIT_B,OUTPUT,LVTTL,2,8,SLOW,NONE**,,,LOCATED,YES,NONE,
P49,U6_OE,IOB,IO_L10N_2/D3,OUTPUT,LVTTL,2,8,SLOW,NONE**,,,LOCATED,NO,NONE,
P50,,DIFFMTB,IO_L11P_2/D2,UNUSED,,2,,,,,,,,,
P51,,DIFFSTB,IO_L11N_2/D0/DIN/MISO,UNUSED,,2,,,,,,,,,
P52,,DIFFMTB,IO_L12P_2/D1,UNUSED,,2,,,,,,,,,
P53,,DIFFSTB,IO_L12N_2/CCLK,UNUSED,,2,,,,,,,,,
P54,,,DONE,,,,,,,,,,,,
P55,,,VCCAUX,,,,,,,,3.3,,,,
P56,,DIFFMLR,IO_L01P_1,UNUSED,,1,,,,,,,,,
P57,EMS_OUT<6>,IOB,IO_L01N_1,OUTPUT,LVTTL,1,8,SLOW,NONE**,,,LOCATED,YES,NONE,
P58,,,GND,,,,,,,,,,,,
P59,EMS_OUT<3>,IOB,IO_L02P_1/RHCLK0,OUTPUT,LVTTL,1,8,SLOW,NONE**,,,LOCATED,YES,NONE,
P60,EMS_OUT<4>,IOB,IO_L02N_1/RHCLK1,OUTPUT,LVTTL,1,8,SLOW,NONE**,,,LOCATED,YES,NONE,
P61,EMS_OUT<5>,IOB,IO_L03P_1/RHCLK2,OUTPUT,LVTTL,1,8,SLOW,NONE**,,,LOCATED,YES,NONE,
P62,EMS_OUT<7>,IOB,IO_L03N_1/TRDY1/RHCLK3,OUTPUT,LVTTL,1,8,SLOW,NONE**,,,LOCATED,YES,NONE,
P63,,,GND,,,,,,,,,,,,
P64,EMS_OUT<2>,IOB,IO_L04P_1/IRDY1/RHCLK6,OUTPUT,LVTTL,1,8,SLOW,NONE**,,,LOCATED,YES,NONE,
P65,BIT_EMS<1>,IBUF,IO_L04N_1/RHCLK7,INPUT,LVTTL,1,,,,IBUF,,LOCATED,NO,NONE,
P66,,,VCCINT,,,,,,,,1.2,,,,
P67,,,VCCO_1,,,1,,,,,3.30,,,,
P68,BIT_EMS<2>,IBUF,IP_1/VREF_1,INPUT,LVTTL,1,,,,IBUF,,LOCATED,NO,NONE,
P69,,,GND,,,,,,,,,,,,
P70,BIT_EMS<3>,IBUF,IO_L05P_1,INPUT,LVTTL,1,,,,IBUF,,LOCATED,NO,NONE,
P71,BIT_EMS<4>,IBUF,IO_L05N_1,INPUT,LVTTL,1,,,,IBUF,,LOCATED,NO,NONE,
P72,BIT_EMS<5>,IBUF,IO_L06P_1,INPUT,LVTTL,1,,,,IBUF,,LOCATED,NO,NONE,
P73,BIT_EMS<6>,IBUF,IO_L06N_1,INPUT,LVTTL,1,,,,IBUF,,LOCATED,NO,NONE,
P74,,,GND,,,,,,,,,,,,
P75,,,TDO,,,,,,,,,,,,
P76,,,TCK,,,,,,,,,,,,
P77,BIT_EMS<7>,IBUF,IO_L01P_0/VREF_0,INPUT,LVTTL,0,,,,IBUF,,LOCATED,NO,NONE,
P78,OPS_MODE_730<0>,IBUF,IO_L01N_0,INPUT,LVTTL,0,,,,IFD,,LOCATED,YES,NONE,
P79,,,VCCO_0,,,0,,,,,3.30,,,,
P80,,,GND,,,,,,,,,,,,
P81,,,VCCINT,,,,,,,,1.2,,,,
P82,OPS_MODE_730<1>,IBUF,IP_0/VREF_0,INPUT,LVTTL,0,,,,IFD,,LOCATED,YES,NONE,
P83,TEST_BIT_0,IBUF,IO_L02P_0/GCLK4,INPUT,LVTTL,0,,,,IBUF,,LOCATED,NO,NONE,
P84,SPARE_STATUS0,IOB,IO_L02N_0/GCLK5,OUTPUT,LVTTL,0,8,SLOW,NONE**,,,LOCATED,NO,NONE,
P85,RESET,IBUF,IO_L03P_0/GCLK6,INPUT,LVTTL,0,,,,IBUF,,LOCATED,NO,NONE,
P86,TEST_BIT_1,IBUF,IO_L03N_0/GCLK7,INPUT,LVTTL,0,,,,IBUF,,LOCATED,NO,NONE,
P87,,,GND,,,,,,,,,,,,
